"student_id" "female" "nonwhite" "rep" "mun_school" "math_prof" "math" "math_bl1" "math_bl2" "lp_prof" "lp" "lp_bl1" "lp_bl2"
"310" 198291 0 0 0 0 0.614829 19 10 9 -0.578555 11 7 4
"311" 198292 0 0 0 0 1.083249 20 10 10 0.781074 21 8 13
"312" 198293 1 0 0 0 1.371274 22 12 10 1.688233 24 12 12
"313" 901606 1 1 0 0 -0.316716 12 9 3 -1.032154 11 8 3
"314" 901607 1 0 0 0 0.605547 18 9 9 0.088224 18 7 11
"315" 1605687 0 0 0 0 0.888141 21 11 10 -0.022264 17 7 10
"316" 1605688 0 1 1 0 -0.214974 10 6 4 -0.935573 9 4 5
"317" 1605690 1 0 0 0 -0.087694 14 7 7 0.990296 22 12 10
"318" 1605691 0 1 0 0 0.542481 18 10 8 -0.069254 17 8 9
"319" 2307359 0 0 0 0 -0.029664 14 7 7 -0.919464 12 4 8
"320" 3008983 1 0 0 0 -0.036885 14 7 7 0.699052 20 10 10
"321" 3008984 0 0 0 0 0.89514 22 12 10 0.831703 21 10 11
"322" 3008985 1 0 0 0 -0.434692 11 6 5 -0.006941 16 8 8
"323" 3008986 1 1 0 0 0.414088 18 9 9 -1.003251 8 5 3
"324" 3008987 1 0 1 0 0.368814 17 8 9 0.609166 19 9 10
"325" 3008988 0 1 0 0 0.372606 17 10 7 0.239766 19 10 9
"326" 3008990 1 1 0 0 0.85442 21 10 11 0.512886 19 12 7
"327" 3711487 0 0 0 0 0.667277 18 7 11 -0.141526 13 7 6
"328" 3711488 1 1 0 0 0.500999 17 10 7 0.232432 18 10 8
"329" 4413257 1 1 0 0 0.944027 22 10 12 -0.089974 14 7 7
"330" 4413258 1 0 1 0 0.050077 16 8 8 -0.022635 16 8 8
"331" 4413259 1 0 0 0 0.726765 19 9 10 0.64554 19 10 9
"332" 4413260 0 1 0 0 0.225468 16 7 9 -0.855201 11 5 6
"333" 4413261 1 0 0 0 -0.110109 13 6 7 0.076208 16 10 6
"334" 4413262 0 1 1 0 -0.237269 11 7 4 0.104697 14 8 6
"335" 4413263 1 1 0 0 -0.843714 10 6 4 -0.796466 10 5 5
"336" 4413264 1 0 0 0 0.373412 19 10 9 0.637886 20 8 12
"337" 5115997 1 0 0 0 -0.034295 17 9 8 0.174965 18 8 10
"338" 5115998 1 0 0 0 0.458803 17 10 7 -0.054785 17 9 8
"339" 5116000 1 0 0 0 0.01507 16 7 9 0.221324 16 8 8
"340" 614018 1 1 0 0 -0.964859 9 5 4 -1.111004 12 5 7
"341" 1316754 0 0 0 0 0.039031 15 7 8 -0.459359 14 9 5
"342" 1316755 0 0 0 0 -0.881096 8 5 3 -0.066244 15 7 8
"343" 1316756 1 0 0 0 -0.356392 13 8 5 -0.53771 11 8 3
"344" 1316757 0 1 0 0 0.15965 14 7 7 -0.378932 14 8 6
"345" 1316758 1 1 1 0 -0.995264 7 3 4 -0.411983 12 5 7
"346" 1316759 1 1 0 0 1.274267 22 11 11 0.799375 19 9 10
"347" 1316760 0 0 0 0 -0.368259 13 7 6 -1.01589 13 8 5
"348" 2019830 1 0 0 0 -0.892047 8 4 4 -1.064515 10 5 5
"349" 2019833 1 0 1 0 -0.365168 10 5 5 0.415353 17 8 9
"350" 2721932 1 1 0 0 -0.940748 9 4 5 0.149625 18 8 10
"351" 2721935 0 0 0 0 -0.288044 15 7 8 0.084567 18 10 8
"352" 3424621 0 1 0 0 -1.007719 8 5 3 -0.748673 10 6 4
